MaxErr,SKO,Span,s22,c22,s31,c31
6.88E-06,0.467262,2.64923,0.4,-0.8,0.8,0.2
1.02E-05,0.468152,2.78061,-0.7,0.3,-0.7,-0.7
9.46E-06,0.468152,2.78061,-0.7,-0.3,0.7,-0.7
9.46E-06,0.468152,2.78061,0.7,-0.3,0.7,0.7
9.03E-06,0.468597,2.82271,-0.4,0.7,-0.8,-0.5
8.23E-06,0.468597,2.98324,-0.1,-0.8,-0.8,-0.5
8.65E-06,0.468597,2.98198,-0.1,0.8,-0.8,-0.5
8.23E-06,0.468597,2.98324,0.1,-0.8,-0.8,0.5
8.65E-06,0.468597,2.98198,0.1,0.8,-0.8,0.5
9.03E-06,0.468597,2.82271,0.4,0.7,-0.8,0.5
7.79E-06,0.468597,2.98198,0.2,-0.8,-0.7,-0.6
7.79E-06,0.468597,2.98198,-0.2,-0.8,-0.7,0.6
7.88E-06,0.468597,2.9887,0.2,-0.8,-0.6,-0.7
4.44E-06,0.468597,2.70512,0.7,-0.7,-0.6,-0.3
4.44E-06,0.468597,2.70512,-0.7,-0.7,-0.6,0.3
7.88E-06,0.468597,2.9887,-0.2,-0.8,-0.6,0.7
9.31E-06,0.468597,2.79886,-0.8,0.1,-0.5,-0.8
8.38E-06,0.468597,2.94192,-0.7,0.4,-0.5,-0.8
8.17E-06,0.468597,2.99468,0.4,-0.7,-0.5,-0.8
8.17E-06,0.468597,2.99468,-0.4,-0.7,-0.5,0.8
8.38E-06,0.468597,2.94192,0.7,0.4,-0.5,0.8
5.49E-06,0.468597,2.91052,0.7,-0.7,-0.3,-0.6
3.67E-06,0.468597,2.76786,0.8,-0.7,-0.3,-0.4
3.67E-06,0.468597,2.76786,-0.8,-0.7,-0.3,0.4
5.49E-06,0.468597,2.91052,-0.7,-0.7,-0.3,0.6
2.41E-06,0.468597,2.54391,-0.8,0.8,-0.1,-0.2
3.51E-06,0.468597,2.7341,0.7,-0.8,0,-0.5
3.59E-06,0.468597,2.76657,0.8,-0.7,0,-0.5
3.59E-06,0.468597,2.76657,-0.8,-0.7,0,0.5
3.51E-06,0.468597,2.7341,-0.7,-0.8,0,0.5
3.63E-06,0.468597,2.7341,-0.7,0.8,0,0.5
2.70E-06,0.468597,2.47481,-0.8,-0.8,0.1,0.2
8.65E-06,0.468597,2.79002,-0.8,-0.2,0.6,-0.7
9.11E-06,0.468597,2.66077,-0.7,-0.4,0.8,-0.5
7.57E-06,0.469042,2.99819,0.6,0.6,0.4,-0.8
7.57E-06,0.469042,2.99819,-0.6,0.6,0.4,0.8
7.88E-06,0.469042,2.71883,-0.6,-0.6,0.8,-0.4
7.88E-06,0.469042,2.71883,0.6,-0.6,0.8,0.4
5.76E-06,0.469929,2.75894,0.5,-0.8,-0.7,-0.3
5.76E-06,0.469929,2.75894,-0.5,-0.8,-0.7,0.3
6.14E-06,0.469929,2.98097,0.5,-0.8,-0.3,-0.7
6.14E-06,0.469929,2.98097,-0.5,-0.8,-0.3,0.7
3.91E-06,0.469929,2.79399,-0.7,0.8,0.1,0.5
5.66E-06,0.469929,2.96391,-0.8,0.5,0.3,0.7
5.70E-06,0.469929,2.75894,0.5,0.8,0.7,-0.3
5.70E-06,0.469929,2.75894,-0.5,0.8,0.7,0.3
1.28E-05,0.470815,2.61974,0.6,-0.1,-0.8,-0.8
8.78E-06,0.470815,2.61974,0.6,0.1,-0.8,-0.8
9.36E-06,0.470815,2.92507,-0.3,0.7,-0.8,-0.6
7.34E-06,0.470815,2.86854,-0.3,0.8,-0.8,-0.4
7.34E-06,0.470815,2.86854,0.3,0.8,-0.8,0.4
9.36E-06,0.470815,2.92507,0.3,0.7,-0.8,0.6
1.28E-05,0.470815,2.61974,-0.6,-0.1,-0.8,0.8
8.78E-06,0.470815,2.61974,-0.6,0.1,-0.8,0.8
6.16E-06,0.470815,2.92416,0.7,0.6,0,-0.8
6.16E-06,0.470815,2.92416,-0.7,0.6,0,0.8
7.43E-06,0.470815,2.9543,-0.8,0.3,0.4,0.8
8.85E-06,0.470815,2.97111,-0.3,-0.7,0.6,-0.8
1.01E-05,0.470815,2.88161,-0.7,0.3,0.6,0.8
8.85E-06,0.470815,2.97111,0.3,-0.7,0.6,0.8
8.98E-06,0.470815,2.61974,0.6,0.1,0.8,-0.8
1.04E-05,0.470815,2.67961,-0.7,-0.3,0.8,-0.6
1.04E-05,0.470815,2.67961,0.7,-0.3,0.8,0.6
8.98E-06,0.470815,2.61974,-0.6,0.1,0.8,0.8
6.15E-06,0.472141,2.81267,-0.6,0.7,-0.7,-0.4
4.43E-06,0.472141,2.77473,0.6,-0.8,-0.6,-0.3
4.43E-06,0.472141,2.77473,-0.6,-0.8,-0.6,0.3
6.20E-06,0.472141,2.98988,0.6,-0.7,-0.4,-0.7
6.20E-06,0.472141,2.98988,-0.6,-0.7,-0.4,0.7
5.00E-06,0.472141,2.94758,0.6,-0.8,-0.3,-0.6
4.94E-06,0.472141,2.93024,0.8,-0.6,-0.3,-0.6
4.94E-06,0.472141,2.93024,-0.8,-0.6,-0.3,0.6
5.00E-06,0.472141,2.94758,-0.6,-0.8,-0.3,0.6
6.50E-06,0.472141,2.96669,0.7,-0.6,-0.1,-0.8
6.46E-06,0.472141,2.88163,0.7,0.6,-0.1,-0.8
6.50E-06,0.472141,2.96669,-0.7,-0.6,-0.1,0.8
6.46E-06,0.472141,2.88163,-0.7,0.6,-0.1,0.8
6.60E-06,0.472141,2.94597,0.6,0.7,0.1,-0.8
6.60E-06,0.472141,2.94597,-0.6,0.7,0.1,0.8
5.03E-06,0.472141,2.93024,0.8,0.6,0.3,-0.6
5.03E-06,0.472141,2.93024,-0.8,0.6,0.3,0.6
6.71E-06,0.472141,2.97997,0.7,0.6,0.4,-0.7
6.71E-06,0.472141,2.97997,-0.7,0.6,0.4,0.7
4.51E-06,0.472141,2.77473,-0.6,0.8,0.6,0.3
5.78E-06,0.472141,2.74306,-0.7,-0.6,0.7,-0.4
6.17E-06,0.472141,2.81267,-0.6,-0.7,0.7,-0.4
6.17E-06,0.472141,2.81267,0.6,-0.7,0.7,0.4
5.78E-06,0.472141,2.74306,0.7,-0.6,0.7,0.4
7.43E-06,0.472582,2.84216,-0.8,0.4,-0.6,-0.6
7.43E-06,0.472582,2.84216,0.8,0.4,-0.6,0.6
7.92E-06,0.472582,3.01891,0.5,-0.7,-0.4,-0.8
7.03E-06,0.472582,3.00222,0.7,-0.5,-0.4,-0.8
7.03E-06,0.472582,3.00222,-0.7,-0.5,-0.4,0.8
7.92E-06,0.472582,3.01891,-0.5,-0.7,-0.4,0.8
2.78E-06,0.472582,2.59973,-0.8,-0.8,0.2,-0.2
7.91E-06,0.472582,3.01891,0.5,0.7,0.4,-0.8
7.31E-06,0.472582,3.00222,-0.7,0.5,0.4,0.8
7.91E-06,0.472582,3.01891,-0.5,0.7,0.4,0.8
6.85E-06,0.472582,2.97329,0.4,0.8,0.6,-0.6
6.85E-06,0.472582,2.97329,-0.4,0.8,0.6,0.6
8.24E-06,0.472582,2.6568,-0.7,-0.5,0.8,-0.4
7.34E-06,0.472582,2.78844,-0.5,-0.7,0.8,-0.4
7.34E-06,0.472582,2.78844,0.5,-0.7,0.8,0.4
8.24E-06,0.472582,2.6568,0.7,-0.5,0.8,0.4
9.70E-06,0.473462,2.94162,-0.5,0.6,-0.7,-0.7
9.70E-06,0.473462,2.94162,0.5,0.6,-0.7,0.7
9.29E-06,0.473462,2.9086,-0.6,0.5,0.7,0.7
8.35E-06,0.473902,3.00328,-0.2,-0.8,-0.8,-0.5
8.28E-06,0.473902,2.98198,-0.2,0.8,-0.8,-0.5
7.25E-06,0.473902,3.01436,-0.4,-0.8,-0.8,-0.3
7.43E-06,0.473902,2.75701,-0.4,0.8,-0.8,-0.3
7.25E-06,0.473902,3.01436,0.4,-0.8,-0.8,0.3
7.43E-06,0.473902,2.75701,0.4,0.8,-0.8,0.3
8.35E-06,0.473902,3.00328,0.2,-0.8,-0.8,0.5
8.28E-06,0.473902,2.98198,0.2,0.8,-0.8,0.5
1.13E-05,0.473902,2.9356,-0.5,0.5,-0.7,-0.8
1.14E-05,0.473902,2.7194,0.7,-0.1,-0.7,-0.8
1.14E-05,0.473902,2.7194,-0.7,-0.1,-0.7,0.8
5.57E-06,0.473902,2.81555,-0.8,0.5,-0.6,-0.5
5.57E-06,0.473902,2.9399,0.5,-0.8,-0.6,-0.5
5.58E-06,0.473902,2.81555,0.8,-0.5,-0.6,-0.5
5.58E-06,0.473902,2.81555,-0.8,-0.5,-0.6,0.5
5.57E-06,0.473902,2.9399,-0.5,-0.8,-0.6,0.5
8.96E-06,0.473902,2.89634,-0.8,0.2,-0.5,-0.8
4.50E-06,0.473902,2.85778,0.7,-0.8,-0.2,-0.5
4.38E-06,0.473902,2.86111,0.8,-0.7,-0.2,-0.5
4.38E-06,0.473902,2.86111,-0.8,-0.7,-0.2,0.5
4.50E-06,0.473902,2.85778,-0.7,-0.8,-0.2,0.5
4.62E-06,0.473902,2.89343,0.7,-0.7,0,-0.7
2.17E-06,0.473902,2.61576,-0.8,-0.8,0,-0.3
2.56E-06,0.473902,2.61576,-0.8,0.8,0,-0.3
4.62E-06,0.473902,2.89343,-0.7,-0.7,0,0.7
5.18E-06,0.473902,2.89343,-0.7,0.7,0,0.7
4.44E-06,0.473902,2.85778,-0.7,0.8,0.2,0.5
7.13E-06,0.473902,3.01226,0.8,0.4,0.3,-0.8
7.13E-06,0.473902,3.01226,-0.8,0.4,0.3,0.8
6.29E-06,0.473902,2.99752,0.5,0.8,0.5,-0.6
6.34E-06,0.473902,2.90613,-0.8,0.5,0.5,0.6
6.29E-06,0.473902,2.99752,-0.5,0.8,0.5,0.6
6.33E-06,0.473902,2.9399,0.5,0.8,0.6,-0.5
6.33E-06,0.473902,2.9399,-0.5,0.8,0.6,0.5
9.86E-06,0.473902,3.02043,-0.1,-0.7,0.8,-0.7
6.50E-06,0.473902,2.75701,-0.4,-0.8,0.8,-0.3
6.50E-06,0.473902,2.75701,0.4,-0.8,0.8,0.3
1.15E-05,0.473902,2.85384,-0.5,0.5,0.8,0.7
9.86E-06,0.473902,3.02043,0.1,-0.7,0.8,0.7
6.93E-06,0.475219,3.0309,0.4,-0.8,-0.5,-0.7
4.90E-06,0.475219,2.89452,0.7,-0.7,-0.5,-0.5
4.90E-06,0.475219,2.89452,-0.7,-0.7,-0.5,0.5
6.93E-06,0.475219,3.0309,-0.4,-0.8,-0.5,0.7
2.89E-06,0.475219,2.66884,-0.8,0.8,-0.1,-0.3
2.59E-06,0.475219,2.56483,-0.8,0.8,0.1,-0.3
5.46E-06,0.475219,2.94321,-0.7,0.7,0.1,0.7
7.18E-06,0.475219,2.94847,0.8,0.4,0.5,-0.7
7.18E-06,0.475219,2.94847,-0.8,0.4,0.5,0.7
7.43E-06,0.475219,2.74182,-0.8,-0.4,0.7,-0.5
7.16E-06,0.475219,2.92192,0.4,0.8,0.7,-0.5
7.16E-06,0.475219,2.92192,-0.4,0.8,0.7,0.5
8.37E-06,0.475657,2.90823,-0.6,0.6,-0.7,-0.6
8.37E-06,0.475657,2.90823,0.6,0.6,-0.7,0.6
7.98E-06,0.475657,2.98205,-0.6,0.6,-0.6,-0.7
7.98E-06,0.475657,2.98205,0.6,0.6,-0.6,0.7
1.21E-05,0.476095,2.98246,0.2,-0.6,-0.8,-0.8
6.56E-06,0.476095,2.74064,0.6,-0.2,-0.8,-0.8
1.07E-05,0.476095,2.82684,-0.6,0.5,-0.8,-0.6
4.12E-06,0.476095,2.884,0.5,-0.6,-0.8,-0.6
1.21E-05,0.476095,2.98246,-0.2,-0.6,-0.8,0.8
9.51E-06,0.476095,2.99036,-0.6,0.5,-0.6,-0.8
9.17E-06,0.476095,3.00905,-0.5,0.6,-0.6,-0.8
5.36E-06,0.476095,3.00905,-0.5,-0.6,-0.6,0.8
9.17E-06,0.476095,3.00905,0.5,0.6,-0.6,0.8
6.86E-06,0.476095,3.00602,0.6,-0.7,-0.2,-0.8
6.34E-06,0.476095,3.01266,0.7,-0.6,-0.2,-0.8
6.34E-06,0.476095,3.01266,-0.7,-0.6,-0.2,0.8
6.86E-06,0.476095,3.00602,-0.6,-0.7,-0.2,0.8
6.39E-06,0.476095,3.01266,0.7,0.6,0.2,-0.8
6.39E-06,0.476095,3.01266,-0.7,0.6,0.2,0.8
1.04E-05,0.476095,2.884,0.5,0.6,0.8,-0.6
6.80E-06,0.476095,2.78524,-0.6,-0.7,0.8,-0.2
6.80E-06,0.476095,2.78524,0.6,-0.7,0.8,0.2
1.04E-05,0.476095,2.884,-0.5,0.6,0.8,0.6
6.29E-06,0.477406,2.83515,-0.6,0.4,-0.8,-0.7
1.09E-05,0.477406,2.91827,-0.4,0.6,-0.8,-0.7
1.09E-05,0.477406,2.91827,0.4,0.6,-0.8,0.7
1.02E-05,0.477406,2.97501,-0.4,0.6,-0.7,-0.8
1.02E-05,0.477406,2.97501,0.4,0.6,-0.7,0.8
8.39E-06,0.477406,2.89051,-0.8,0.3,-0.6,-0.7
7.30E-06,0.477406,3.00874,0.3,-0.8,-0.6,-0.7
7.30E-06,0.477406,3.00874,-0.3,-0.8,-0.6,0.7
4.86E-06,0.477406,2.93682,0.8,-0.6,0,-0.7
4.76E-06,0.477406,2.93682,0.8,0.6,0,-0.7
4.86E-06,0.477406,2.93682,-0.8,-0.6,0,0.7
4.76E-06,0.477406,2.93682,-0.8,0.6,0,0.7
5.25E-06,0.477406,2.87652,-0.6,0.8,0,0.7
8.34E-06,0.477406,3.00874,0.3,0.8,0.6,-0.7
8.34E-06,0.477406,3.00874,-0.3,0.8,0.6,0.7
1.16E-05,0.477406,2.92157,0.6,0.4,0.7,-0.8
7.95E-06,0.477406,2.78419,-0.8,-0.3,0.7,-0.6
7.97E-06,0.477406,2.99416,0.3,0.8,0.7,-0.6
7.97E-06,0.477406,2.99416,-0.3,0.8,0.7,0.6
7.95E-06,0.477406,2.78419,0.8,-0.3,0.7,0.6
1.16E-05,0.477406,2.92157,-0.6,0.4,0.7,0.8
1.19E-05,0.477406,2.83515,0.6,0.4,0.8,-0.7
1.19E-05,0.477406,2.83515,-0.6,0.4,0.8,0.7
1.30E-05,0.477842,2.86215,-0.5,0.4,-0.8,-0.8
1.19E-05,0.477842,2.88205,-0.4,0.5,-0.8,-0.8
1.30E-05,0.477842,2.86215,0.5,0.4,-0.8,0.8
5.11E-06,0.477842,2.8369,0.7,-0.7,-0.6,-0.4
5.11E-06,0.477842,2.8369,-0.7,-0.7,-0.6,0.4
5.01E-06,0.477842,2.96577,0.7,-0.7,-0.4,-0.6
3.77E-06,0.477842,2.81983,0.8,-0.7,-0.4,-0.4
3.77E-06,0.477842,2.81983,-0.8,-0.7,-0.4,0.4
5.01E-06,0.477842,2.96577,-0.7,-0.7,-0.4,0.6
6.46E-06,0.477842,2.98517,0.8,-0.5,0,-0.8
6.46E-06,0.477842,2.98517,-0.8,-0.5,0,0.8
6.50E-06,0.477842,2.98517,-0.8,0.5,0,0.8
5.59E-06,0.477842,2.96577,-0.7,0.7,0.4,0.6
4.68E-06,0.478714,2.88928,0.8,-0.6,-0.5,-0.5
4.68E-06,0.478714,2.88928,-0.8,-0.6,-0.5,0.5
5.04E-06,0.478714,2.97934,0.8,-0.6,-0.1,-0.7
5.44E-06,0.478714,2.89429,0.8,0.6,-0.1,-0.7
5.04E-06,0.478714,2.97934,-0.8,-0.6,-0.1,0.7
5.44E-06,0.478714,2.89429,-0.8,0.6,-0.1,0.7
5.08E-06,0.478714,2.89429,0.8,-0.6,0.1,-0.7
5.44E-06,0.478714,2.97934,0.8,0.6,0.1,-0.7
5.08E-06,0.478714,2.89429,-0.8,-0.6,0.1,0.7
5.44E-06,0.478714,2.97934,-0.8,0.6,0.1,0.7
5.55E-06,0.478714,2.93209,-0.6,0.8,0.1,0.7
5.00E-06,0.478714,2.88928,0.8,0.6,0.5,-0.5
5.00E-06,0.478714,2.88928,-0.8,0.6,0.5,0.5
1.15E-05,0.479149,2.72031,0.7,-0.2,-0.8,-0.7
1.15E-05,0.479149,2.72031,-0.7,-0.2,-0.8,0.7
8.79E-06,0.479149,2.8816,-0.7,0.5,-0.7,-0.6
7.94E-06,0.479149,2.97784,-0.5,0.7,-0.7,-0.6
6.13E-06,0.479149,2.88275,-0.5,0.8,-0.7,-0.4
6.13E-06,0.479149,2.88275,0.5,0.8,-0.7,0.4
7.94E-06,0.479149,2.97784,0.5,0.7,-0.7,0.6
6.11E-06,0.479149,2.82131,-0.7,-0.2,-0.7,0.8
5.33E-06,0.479149,3.04389,-0.2,-0.7,-0.7,0.8
5.33E-06,0.479149,3.04389,-0.2,-0.7,-0.7,0.8
6.89E-06,0.479149,3.05514,0.5,-0.8,-0.4,-0.7
6.89E-06,0.479149,3.05514,-0.5,-0.8,-0.4,0.7
6.24E-06,0.479149,2.99845,0.7,-0.7,-0.2,-0.7
3.41E-06,0.479149,2.72465,-0.8,0.8,-0.2,-0.3
6.24E-06,0.479149,2.99845,-0.7,-0.7,-0.2,0.7
6.12E-06,0.479149,3.0277,0.8,-0.5,-0.1,-0.8
6.12E-06,0.479149,3.0277,-0.8,-0.5,-0.1,0.8
6.54E-06,0.479149,2.94264,-0.8,0.5,-0.1,0.8
6.70E-06,0.479149,2.94264,0.8,-0.5,0.1,-0.8
6.70E-06,0.479149,2.94264,-0.8,-0.5,0.1,0.8
6.14E-06,0.479149,3.0277,-0.8,0.5,0.1,0.8
3.29E-06,0.479149,2.72465,-0.8,-0.8,0.2,-0.3
2.46E-06,0.479149,2.65727,-0.8,-0.8,0.2,0.3
5.50E-06,0.479149,2.99845,-0.7,0.7,0.2,0.7
6.83E-06,0.479149,3.05514,0.5,0.8,0.4,-0.7
6.57E-06,0.479149,3.00643,-0.8,0.5,0.4,0.7
6.83E-06,0.479149,3.05514,-0.5,0.8,0.4,0.7
7.72E-06,0.479149,3.03546,0.5,0.7,0.6,-0.7
7.72E-06,0.479149,3.03546,-0.5,0.7,0.6,0.7
1.06E-05,0.479149,3.04389,-0.2,-0.7,0.7,-0.8
1.23E-05,0.479149,2.82131,0.7,0.2,0.7,-0.8
1.23E-05,0.479149,2.82131,-0.7,0.2,0.7,0.8
1.06E-05,0.479149,3.04389,0.2,-0.7,0.7,0.8
5.59E-06,0.479149,2.72031,-0.7,-0.2,0.8,-0.7
5.59E-06,0.479149,2.72031,-0.7,-0.2,0.8,-0.7
8.95E-06,0.480451,3.01123,-0.4,0.7,-0.7,-0.7
8.95E-06,0.480451,3.01123,0.4,0.7,-0.7,0.7
4.15E-06,0.480451,2.79896,0.7,-0.8,-0.5,-0.3
3.86E-06,0.480451,2.75452,0.8,-0.7,-0.5,-0.3
3.86E-06,0.480451,2.75452,-0.8,-0.7,-0.5,0.3
4.15E-06,0.480451,2.79896,-0.7,-0.8,-0.5,0.3
4.79E-06,0.480451,2.92157,0.7,-0.8,-0.3,-0.5
4.44E-06,0.480451,2.90838,0.8,-0.7,-0.3,-0.5
4.44E-06,0.480451,2.90838,-0.8,-0.7,-0.3,0.5
4.79E-06,0.480451,2.92157,-0.7,-0.8,-0.3,0.5
4.43E-06,0.480451,2.90838,-0.8,0.7,0.3,0.5
4.73E-06,0.480451,2.92157,-0.7,0.8,0.3,0.5
1.03E-05,0.480451,2.73206,-0.8,-0.1,0.7,-0.7
8.61E-06,0.480451,3.09541,-0.1,-0.8,0.7,-0.7
9.30E-06,0.480451,2.89357,0.7,0.4,0.7,-0.7
9.30E-06,0.480451,2.89357,-0.7,0.4,0.7,0.7
8.61E-06,0.480451,3.09541,0.1,-0.8,0.7,0.7
8.87E-06,0.480885,2.85061,-0.6,0.6,-0.8,-0.5
8.87E-06,0.480885,2.85061,0.6,0.6,-0.8,0.5
7.81E-06,0.480885,3.06381,-0.6,0.6,-0.5,-0.8
7.81E-06,0.480885,3.06381,0.6,0.6,-0.5,0.8
5.18E-06,0.481318,2.90651,-0.6,0.8,-0.6,-0.4
5.58E-06,0.481318,3.02175,0.6,-0.8,-0.4,-0.6
5.58E-06,0.481318,3.02175,-0.6,-0.8,-0.4,0.6
5.59E-06,0.481318,3.02175,-0.6,0.8,0.4,0.6
9.92E-06,0.481318,2.78901,-0.8,0,0.6,-0.8
5.22E-06,0.481318,2.80134,0.8,0.6,0.6,-0.4
5.22E-06,0.481318,2.80134,-0.8,0.6,0.6,0.4
6.84E-06,0.481318,3.00207,-0.6,0.7,0.6,0.6
9.92E-06,0.481318,2.78901,0.8,0,0.6,0.8
9.30E-06,0.481318,3.09541,0,-0.8,0.8,-0.6
9.30E-06,0.481318,3.09541,0,-0.8,0.8,0.6
5.08E-06,0.482614,2.76603,0.6,-0.8,-0.7,-0.2
5.08E-06,0.482614,2.76603,-0.6,-0.8,-0.7,0.2
7.38E-06,0.482614,3.07164,0.6,-0.7,-0.3,-0.8
6.67E-06,0.482614,3.0679,0.7,-0.6,-0.3,-0.8
6.67E-06,0.482614,3.0679,-0.7,-0.6,-0.3,0.8
7.38E-06,0.482614,3.07164,-0.6,-0.7,-0.3,0.8
5.43E-06,0.482614,3.0052,0.6,-0.8,-0.2,-0.7
5.62E-06,0.482614,3.02349,0.8,-0.6,-0.2,-0.7
5.62E-06,0.482614,3.02349,-0.8,-0.6,-0.2,0.7
5.43E-06,0.482614,3.0052,-0.6,-0.8,-0.2,0.7
5.90E-06,0.482614,3.02349,0.8,0.6,0.2,-0.7
5.90E-06,0.482614,3.02349,-0.8,0.6,0.2,0.7
6.02E-06,0.482614,3.0052,-0.6,0.8,0.2,0.7
7.42E-06,0.482614,3.07164,0.6,0.7,0.3,-0.8
7.35E-06,0.482614,3.0679,0.7,0.6,0.3,-0.8
7.35E-06,0.482614,3.0679,-0.7,0.6,0.3,0.8
7.42E-06,0.482614,3.07164,-0.6,0.7,0.3,0.8
7.60E-06,0.482614,2.79658,-0.7,-0.6,0.8,-0.3
6.79E-06,0.482614,2.75505,-0.6,-0.7,0.8,-0.3
6.79E-06,0.482614,2.75505,0.6,-0.7,0.8,0.3
7.60E-06,0.482614,2.79658,0.7,-0.6,0.8,0.3
9.95E-06,0.483046,2.80815,-0.7,0.4,-0.8,-0.6
7.37E-06,0.483046,2.87581,-0.4,0.8,-0.8,-0.4
7.37E-06,0.483046,2.87581,0.4,0.8,-0.8,0.4
9.95E-06,0.483046,2.80815,0.7,0.4,-0.8,0.6
1.03E-05,0.483046,2.83838,-0.8,0.1,-0.6,-0.8
7.06E-06,0.483046,2.90012,-0.8,-0.5,-0.2,-0.8
7.27E-06,0.483046,3.03859,0.5,-0.8,-0.2,-0.8
6.79E-06,0.483046,2.90012,-0.8,0.5,-0.2,0.8
7.27E-06,0.483046,3.03859,-0.5,-0.8,-0.2,0.8
7.06E-06,0.483046,2.90012,0.8,-0.5,-0.2,0.8
4.34E-06,0.483046,2.90709,-0.8,-0.7,0,-0.6
2.80E-06,0.483046,2.74675,-0.8,0.8,0,0.4
4.20E-06,0.483046,2.90709,-0.8,0.7,0,0.6
3.99E-06,0.483046,2.87376,-0.7,0.8,0,0.6
4.34E-06,0.483046,2.90709,0.8,-0.7,0,0.6
7.06E-06,0.483046,3.07022,-0.8,0.5,0.2,0.8
9.54E-06,0.483046,2.83838,-0.8,-0.1,0.6,-0.8
9.51E-06,0.483046,3.06885,0.4,0.7,0.6,-0.8
9.51E-06,0.483046,3.06885,-0.4,0.7,0.6,0.8
9.51E-06,0.483046,2.80815,-0.7,-0.4,0.8,-0.6
8.61E-06,0.483046,3.09541,-0.1,-0.8,0.8,-0.6
8.10E-06,0.483046,2.77846,-0.8,-0.4,0.8,-0.4
6.97E-06,0.483046,2.7688,-0.5,-0.8,0.8,-0.2
6.97E-06,0.483046,2.7688,0.5,-0.8,0.8,0.2
8.61E-06,0.483046,3.09541,0.1,-0.8,0.8,0.6
7.60E-06,0.483908,2.87484,-0.7,0.6,-0.7,-0.5
7.18E-06,0.483908,2.94445,-0.6,0.7,-0.7,-0.5
7.60E-06,0.483908,2.87484,0.7,0.6,-0.7,0.5
7.44E-06,0.483908,3.05969,-0.6,0.7,0.5,0.7
8.75E-06,0.484338,2.92022,-0.5,0.7,-0.8,-0.5
8.75E-06,0.484338,2.92022,0.5,0.7,-0.8,0.5
7.95E-06,0.484338,3.05272,-0.7,0.5,-0.5,-0.8
7.79E-06,0.484338,3.09308,0.5,-0.7,-0.5,-0.8
7.79E-06,0.484338,3.09308,-0.5,-0.7,-0.5,0.8
4.52E-06,0.484338,2.95436,0.8,-0.7,-0.1,-0.6
3.39E-06,0.484338,2.79592,-0.8,-0.8,-0.1,0.4
3.19E-06,0.484338,2.69861,-0.8,0.8,-0.1,0.4
4.52E-06,0.484338,2.95436,-0.8,-0.7,-0.1,0.6
4.26E-06,0.484338,2.85981,-0.8,0.7,-0.1,0.6
4.82E-06,0.484338,2.95436,-0.8,0.7,0.1,0.6
8.12E-06,0.484338,3.09308,0.5,0.7,0.5,-0.8
8.12E-06,0.484338,3.09308,-0.5,0.7,0.5,0.8
8.57E-06,0.484338,2.79984,-0.7,-0.5,0.8,-0.5
8.57E-06,0.484338,2.79984,0.7,-0.5,0.8,0.5
1.40E-05,0.484768,2.86154,-0.6,0.3,-0.8,-0.8
1.20E-05,0.484768,3.01626,-0.3,0.6,-0.8,-0.8
5.43E-06,0.484768,3.01626,-0.3,-0.6,-0.8,0.8
5.43E-06,0.484768,3.01626,-0.3,-0.6,-0.8,0.8
1.20E-05,0.484768,3.01626,0.3,0.6,-0.8,0.8
1.02E-05,0.485627,2.83255,-0.8,0.2,-0.7,-0.7
5.79E-06,0.485627,2.77928,0.7,-0.7,-0.7,-0.3
5.79E-06,0.485627,2.77928,-0.7,-0.7,-0.7,0.3
6.19E-06,0.485627,3.0537,0.7,-0.7,-0.3,-0.7
3.40E-06,0.485627,2.78485,-0.8,-0.8,-0.3,0.3
6.19E-06,0.485627,3.0537,-0.7,-0.7,-0.3,0.7
5.87E-06,0.485627,3.0537,-0.7,0.7,0.3,0.7
9.94E-06,0.485627,2.83255,-0.8,-0.2,0.7,-0.7
1.06E-05,0.487767,3.05248,-0.3,0.7,-0.8,-0.7
1.06E-05,0.487767,3.05248,0.3,0.7,-0.8,0.7
1.15E-05,0.487767,2.93211,-0.7,0.3,0.7,0.8
1.11E-05,0.487767,2.83354,-0.7,0.3,0.8,0.7
9.25E-06,0.488194,3.09541,-0.2,0.8,-0.8,-0.6
9.25E-06,0.488194,3.09541,0.2,0.8,-0.8,0.6
9.29E-06,0.488194,3.11251,0.2,-0.8,-0.6,-0.8
6.77E-06,0.488194,2.95872,-0.8,0.5,-0.6,-0.6
9.29E-06,0.488194,3.11251,-0.2,-0.8,-0.6,0.8
5.23E-06,0.488194,2.98536,0.7,-0.8,-0.2,-0.6
5.00E-06,0.488194,3.00163,0.8,-0.7,-0.2,-0.6
3.65E-06,0.488194,2.84957,-0.8,-0.8,-0.2,0.4
5.00E-06,0.488194,3.00163,-0.8,-0.7,-0.2,0.6
5.23E-06,0.488194,2.98536,-0.7,-0.8,-0.2,0.6
4.03E-06,0.488194,2.84957,-0.8,0.8,0.2,0.4
4.63E-06,0.488194,3.00163,-0.8,0.7,0.2,0.6
5.23E-06,0.488194,2.98536,-0.7,0.8,0.2,0.6
7.22E-06,0.488194,3.07168,0.5,0.8,0.6,-0.6
7.22E-06,0.488194,3.07168,-0.5,0.8,0.6,0.6
9.59E-06,0.488194,2.93886,-0.8,0.2,0.6,0.8
5.39E-06,0.489047,2.84889,0.6,-0.8,-0.7,-0.3
5.85E-06,0.489047,2.80924,0.8,-0.6,-0.7,-0.3
5.85E-06,0.489047,2.80924,-0.8,-0.6,-0.7,0.3
5.39E-06,0.489047,2.84889,-0.6,-0.8,-0.7,0.3
